日付,支店,カテゴリ,商品コード,商品名,数量,単価,金額
2026/06/13,東京本店,ステーショナリー,ST-002,活版印刷メモパッド,33,420,13860
2026/06/13,東京本店,ステーショナリー,ST-003,リネン表紙ノート A5,29,680,19720
2026/06/13,東京本店,インテリア小物,IN-003,ラタン小物かご,13,950,12350
2026/06/13,東京本店,バス・サニタリー,BS-001,オーガニックコットンタオル,9,1180,10620
2026/06/13,東京本店,ガーデン雑貨,GD-004,多肉植物用ミニポット,20,380,7600
2026/06/13,大阪支店,ステーショナリー,ST-002,活版印刷メモパッド,27,420,11340
2026/06/13,大阪支店,ステーショナリー,ST-003,リネン表紙ノート A5,15,680,10200
2026/06/13,大阪支店,ステーショナリー,ST-004,マスキングテープ 12色セット,8,1250,10000
2026/06/13,名古屋支店,キッチン雑貨,KT-001,木製カッティングボード,5,1480,7400
2026/06/13,名古屋支店,キッチン雑貨,KT-004,リネンキッチンクロス 2枚組,12,780,9360
2026/06/13,名古屋支店,バス・サニタリー,BS-001,オーガニックコットンタオル,7,1180,8260
2026/06/13,名古屋支店,ガーデン雑貨,GD-002,ブリキのじょうろ,3,1750,5250
2026/06/13,名古屋支店,ラッピング用品,GF-002,サテンリボン 5色セット,14,540,7560
2026/06/13,福岡支店,キッチン雑貨,KT-002,ホーロー保存容器 3点セット,4,1980,7920
2026/06/13,福岡支店,ステーショナリー,ST-002,活版印刷メモパッド,17,420,7140
2026/06/13,福岡支店,インテリア小物,IN-002,ガラスフラワーベース,4,1650,6600
2026/06/13,福岡支店,バス・サニタリー,BS-001,オーガニックコットンタオル,9,1180,10620
2026/06/13,福岡支店,ラッピング用品,GF-002,サテンリボン 5色セット,8,540,4320
2026/06/13,札幌支店,キッチン雑貨,KT-001,木製カッティングボード,3,1480,4440
2026/06/13,札幌支店,キッチン雑貨,KT-002,ホーロー保存容器 3点セット,4,1980,7920
2026/06/13,札幌支店,キッチン雑貨,KT-003,シリコン調理スプーン,11,520,5720
2026/06/13,札幌支店,ステーショナリー,ST-002,活版印刷メモパッド,8,420,3360
2026/06/13,札幌支店,インテリア小物,IN-001,アロマキャンドル,7,880,6160
2026/06/13,札幌支店,インテリア小物,IN-002,ガラスフラワーベース,4,1650,6600
2026/06/13,札幌支店,インテリア小物,IN-004,陶器の一輪挿し,5,720,3600
2026/06/13,札幌支店,ガーデン雑貨,GD-001,テラコッタ植木鉢 S,10,560,5600
2026/06/13,札幌支店,ラッピング用品,GF-001,クラフト紙ギフトバッグ 10枚,10,650,6500
2026/06/13,札幌支店,ラッピング用品,GF-003,ギフトボックス 小 5個組,11,880,9680
2026/06/13,仙台支店,キッチン雑貨,KT-001,木製カッティングボード,3,1480,4440
2026/06/13,仙台支店,キッチン雑貨,KT-002,ホーロー保存容器 3点セット,5,1980,9900
2026/06/13,仙台支店,ステーショナリー,ST-004,マスキングテープ 12色セット,7,1250,8750
2026/06/13,仙台支店,インテリア小物,IN-001,アロマキャンドル,12,880,10560
2026/06/13,仙台支店,バス・サニタリー,BS-001,オーガニックコットンタオル,8,1180,9440
2026/06/13,仙台支店,ガーデン雑貨,GD-001,テラコッタ植木鉢 S,4,560,2240
2026/06/13,仙台支店,ガーデン雑貨,GD-003,ガーデンピック 3本組,9,480,4320
2026/06/13,仙台支店,ラッピング用品,GF-002,サテンリボン 5色セット,12,540,6480
