日付,支店,カテゴリ,商品コード,商品名,数量,単価,金額
2026/05/28,東京本店,キッチン雑貨,KT-001,木製カッティングボード,14,1480,20720
2026/05/28,東京本店,キッチン雑貨,KT-002,ホーロー保存容器 3点セット,34,1980,67320
2026/05/28,東京本店,ステーショナリー,ST-001,真鍮ボールペン,58,980,56840
2026/05/28,東京本店,ステーショナリー,ST-002,活版印刷メモパッド,92,420,38640
2026/05/28,東京本店,ステーショナリー,ST-003,リネン表紙ノート A5,44,680,29920
2026/05/28,東京本店,インテリア小物,IN-003,ラタン小物かご,32,950,30400
2026/05/28,東京本店,インテリア小物,IN-004,陶器の一輪挿し,24,720,17280
2026/05/28,東京本店,バス・サニタリー,BS-001,オーガニックコットンタオル,49,1180,57820
2026/05/28,東京本店,バス・サニタリー,BS-002,陶器のソープディッシュ,17,640,10880
2026/05/28,東京本店,バス・サニタリー,BS-003,バスソルト 3種セット,35,1380,48300
2026/05/28,東京本店,ガーデン雑貨,GD-001,テラコッタ植木鉢 S,56,560,31360
2026/05/28,東京本店,ガーデン雑貨,GD-002,ブリキのじょうろ,8,1750,14000
2026/05/28,東京本店,ガーデン雑貨,GD-004,多肉植物用ミニポット,50,380,19000
2026/05/28,東京本店,ラッピング用品,GF-001,クラフト紙ギフトバッグ 10枚,100,650,65000
2026/05/28,東京本店,ラッピング用品,GF-002,サテンリボン 5色セット,51,540,27540
2026/05/28,東京本店,ラッピング用品,GF-003,ギフトボックス 小 5個組,43,880,37840
2026/05/28,東京本店,ラッピング用品,GF-004,和紙包装紙 20枚入,16,1150,18400
2026/05/28,大阪支店,キッチン雑貨,KT-001,木製カッティングボード,22,1480,32560
2026/05/28,大阪支店,キッチン雑貨,KT-002,ホーロー保存容器 3点セット,13,1980,25740
2026/05/28,大阪支店,ステーショナリー,ST-001,真鍮ボールペン,37,980,36260
2026/05/28,大阪支店,ステーショナリー,ST-002,活版印刷メモパッド,74,420,31080
2026/05/28,大阪支店,ステーショナリー,ST-003,リネン表紙ノート A5,30,680,20400
2026/05/28,大阪支店,ステーショナリー,ST-004,マスキングテープ 12色セット,18,1250,22500
2026/05/28,大阪支店,インテリア小物,IN-001,アロマキャンドル,52,880,45760
2026/05/28,大阪支店,インテリア小物,IN-004,陶器の一輪挿し,17,720,12240
2026/05/28,大阪支店,バス・サニタリー,BS-002,陶器のソープディッシュ,16,640,10240
2026/05/28,大阪支店,バス・サニタリー,BS-003,バスソルト 3種セット,23,1380,31740
2026/05/28,大阪支店,バス・サニタリー,BS-004,ヒノキの入浴剤 10包,35,920,32200
