日付,支店,カテゴリ,商品コード,商品名,数量,単価,金額
2026/05/31,東京本店,キッチン雑貨,KT-003,シリコン調理スプーン,16,520,8320
2026/05/31,東京本店,インテリア小物,IN-003,ラタン小物かご,9,950,8550
2026/05/31,東京本店,バス・サニタリー,BS-004,ヒノキの入浴剤 10包,9,920,8280
2026/05/31,東京本店,ガーデン雑貨,GD-002,ブリキのじょうろ,3,1750,5250
2026/05/31,東京本店,ラッピング用品,GF-004,和紙包装紙 20枚入,8,1150,9200
2026/05/31,大阪支店,ステーショナリー,ST-002,活版印刷メモパッド,27,420,11340
2026/05/31,大阪支店,ステーショナリー,ST-003,リネン表紙ノート A5,19,680,12920
2026/05/31,大阪支店,インテリア小物,IN-001,アロマキャンドル,8,880,7040
2026/05/31,大阪支店,インテリア小物,IN-002,ガラスフラワーベース,4,1650,6600
2026/05/31,大阪支店,バス・サニタリー,BS-002,陶器のソープディッシュ,10,640,6400
2026/05/31,大阪支店,ガーデン雑貨,GD-003,ガーデンピック 3本組,11,480,5280
2026/05/31,名古屋支店,キッチン雑貨,KT-003,シリコン調理スプーン,15,520,7800
2026/05/31,名古屋支店,ステーショナリー,ST-001,真鍮ボールペン,7,980,6860
2026/05/31,名古屋支店,ステーショナリー,ST-002,活版印刷メモパッド,13,420,5460
2026/05/31,名古屋支店,ステーショナリー,ST-003,リネン表紙ノート A5,17,680,11560
2026/05/31,名古屋支店,ラッピング用品,GF-002,サテンリボン 5色セット,12,540,6480
2026/05/31,福岡支店,ステーショナリー,ST-001,真鍮ボールペン,10,980,9800
2026/05/31,福岡支店,インテリア小物,IN-001,アロマキャンドル,5,880,4400
2026/05/31,福岡支店,インテリア小物,IN-003,ラタン小物かご,3,950,2850
2026/05/31,福岡支店,インテリア小物,IN-004,陶器の一輪挿し,6,720,4320
2026/05/31,福岡支店,ガーデン雑貨,GD-003,ガーデンピック 3本組,11,480,5280
2026/05/31,福岡支店,ガーデン雑貨,GD-004,多肉植物用ミニポット,13,380,4940
2026/05/31,札幌支店,ステーショナリー,ST-004,マスキングテープ 12色セット,4,1250,5000
2026/05/31,札幌支店,インテリア小物,IN-002,ガラスフラワーベース,2,1650,3300
2026/05/31,札幌支店,ガーデン雑貨,GD-001,テラコッタ植木鉢 S,7,560,3920
2026/05/31,札幌支店,ガーデン雑貨,GD-004,多肉植物用ミニポット,7,380,2660
2026/05/31,札幌支店,ラッピング用品,GF-002,サテンリボン 5色セット,12,540,6480
2026/05/31,仙台支店,ステーショナリー,ST-001,真鍮ボールペン,9,980,8820
2026/05/31,仙台支店,ステーショナリー,ST-002,活版印刷メモパッド,10,420,4200
2026/05/31,仙台支店,ガーデン雑貨,GD-003,ガーデンピック 3本組,9,480,4320
