日付,支店,カテゴリ,商品コード,商品名,数量,単価,金額
2026/06/10,東京本店,キッチン雑貨,KT-001,木製カッティングボード,25,1480,37000
2026/06/10,東京本店,キッチン雑貨,KT-003,シリコン調理スプーン,57,520,29640
2026/06/10,東京本店,キッチン雑貨,KT-004,リネンキッチンクロス 2枚組,69,780,53820
2026/06/10,東京本店,ステーショナリー,ST-001,真鍮ボールペン,39,980,38220
2026/06/10,東京本店,ステーショナリー,ST-003,リネン表紙ノート A5,63,680,42840
2026/06/10,東京本店,インテリア小物,IN-003,ラタン小物かご,24,950,22800
2026/06/10,東京本店,インテリア小物,IN-004,陶器の一輪挿し,14,720,10080
2026/06/10,東京本店,バス・サニタリー,BS-001,オーガニックコットンタオル,32,1180,37760
2026/06/10,東京本店,バス・サニタリー,BS-004,ヒノキの入浴剤 10包,47,920,43240
2026/06/10,東京本店,ガーデン雑貨,GD-001,テラコッタ植木鉢 S,58,560,32480
2026/06/10,東京本店,ラッピング用品,GF-001,クラフト紙ギフトバッグ 10枚,48,650,31200
2026/06/10,東京本店,ラッピング用品,GF-002,サテンリボン 5色セット,56,540,30240
2026/06/10,大阪支店,キッチン雑貨,KT-001,木製カッティングボード,28,1480,41440
2026/06/10,大阪支店,キッチン雑貨,KT-002,ホーロー保存容器 3点セット,24,1980,47520
2026/06/10,大阪支店,キッチン雑貨,KT-004,リネンキッチンクロス 2枚組,48,780,37440
2026/06/10,大阪支店,ステーショナリー,ST-002,活版印刷メモパッド,85,420,35700
2026/06/10,大阪支店,ステーショナリー,ST-004,マスキングテープ 12色セット,33,1250,41250
2026/06/10,大阪支店,インテリア小物,IN-002,ガラスフラワーベース,20,1650,33000
2026/06/10,大阪支店,バス・サニタリー,BS-001,オーガニックコットンタオル,44,1180,51920
2026/06/10,大阪支店,バス・サニタリー,BS-002,陶器のソープディッシュ,22,640,14080
2026/06/10,大阪支店,バス・サニタリー,BS-004,ヒノキの入浴剤 10包,33,920,30360
2026/06/10,大阪支店,ガーデン雑貨,GD-001,テラコッタ植木鉢 S,31,560,17360
2026/06/10,大阪支店,ガーデン雑貨,GD-004,多肉植物用ミニポット,46,380,17480
2026/06/10,大阪支店,ラッピング用品,GF-001,クラフト紙ギフトバッグ 10枚,82,650,53300
2026/06/10,大阪支店,ラッピング用品,GF-004,和紙包装紙 20枚入,14,1150,16100
2026/06/10,名古屋支店,キッチン雑貨,KT-001,木製カッティングボード,14,1480,20720
2026/06/10,名古屋支店,キッチン雑貨,KT-002,ホーロー保存容器 3点セット,14,1980,27720
2026/06/10,名古屋支店,キッチン雑貨,KT-003,シリコン調理スプーン,26,520,13520
2026/06/10,名古屋支店,キッチン雑貨,KT-004,リネンキッチンクロス 2枚組,51,780,39780
2026/06/10,名古屋支店,ステーショナリー,ST-003,リネン表紙ノート A5,32,680,21760
2026/06/10,名古屋支店,ステーショナリー,ST-004,マスキングテープ 12色セット,31,1250,38750
2026/06/10,名古屋支店,インテリア小物,IN-001,アロマキャンドル,36,880,31680
2026/06/10,名古屋支店,インテリア小物,IN-003,ラタン小物かご,28,950,26600
