日付,支店,カテゴリ,商品コード,商品名,数量,単価,金額
2026/06/28,東京本店,ステーショナリー,ST-001,真鍮ボールペン,16,980,15680
2026/06/28,東京本店,ステーショナリー,ST-002,活版印刷メモパッド,17,420,7140
2026/06/28,東京本店,バス・サニタリー,BS-004,ヒノキの入浴剤 10包,16,920,14720
2026/06/28,大阪支店,ステーショナリー,ST-001,真鍮ボールペン,17,980,16660
2026/06/28,大阪支店,ステーショナリー,ST-003,リネン表紙ノート A5,18,680,12240
2026/06/28,大阪支店,バス・サニタリー,BS-004,ヒノキの入浴剤 10包,13,920,11960
2026/06/28,大阪支店,ガーデン雑貨,GD-001,テラコッタ植木鉢 S,16,560,8960
2026/06/28,大阪支店,ガーデン雑貨,GD-002,ブリキのじょうろ,6,1750,10500
2026/06/28,大阪支店,ガーデン雑貨,GD-004,多肉植物用ミニポット,13,380,4940
2026/06/28,大阪支店,ラッピング用品,GF-003,ギフトボックス 小 5個組,19,880,16720
2026/06/28,名古屋支店,キッチン雑貨,KT-002,ホーロー保存容器 3点セット,4,1980,7920
2026/06/28,名古屋支店,キッチン雑貨,KT-004,リネンキッチンクロス 2枚組,10,780,7800
2026/06/28,名古屋支店,ステーショナリー,ST-001,真鍮ボールペン,8,980,7840
2026/06/28,名古屋支店,ステーショナリー,ST-003,リネン表紙ノート A5,10,680,6800
2026/06/28,名古屋支店,バス・サニタリー,BS-002,陶器のソープディッシュ,5,640,3200
2026/06/28,名古屋支店,ガーデン雑貨,GD-003,ガーデンピック 3本組,9,480,4320
2026/06/28,名古屋支店,ラッピング用品,GF-003,ギフトボックス 小 5個組,9,880,7920
2026/06/28,福岡支店,キッチン雑貨,KT-001,木製カッティングボード,7,1480,10360
2026/06/28,福岡支店,キッチン雑貨,KT-004,リネンキッチンクロス 2枚組,6,780,4680
2026/06/28,福岡支店,ステーショナリー,ST-002,活版印刷メモパッド,21,420,8820
2026/06/28,福岡支店,インテリア小物,IN-003,ラタン小物かご,4,950,3800
2026/06/28,福岡支店,バス・サニタリー,BS-001,オーガニックコットンタオル,7,1180,8260
2026/06/28,福岡支店,ガーデン雑貨,GD-003,ガーデンピック 3本組,12,480,5760
2026/06/28,福岡支店,ラッピング用品,GF-004,和紙包装紙 20枚入,6,1150,6900
2026/06/28,札幌支店,キッチン雑貨,KT-001,木製カッティングボード,4,1480,5920
2026/06/28,札幌支店,キッチン雑貨,KT-002,ホーロー保存容器 3点セット,4,1980,7920
2026/06/28,札幌支店,インテリア小物,IN-001,アロマキャンドル,9,880,7920
2026/06/28,札幌支店,インテリア小物,IN-002,ガラスフラワーベース,3,1650,4950
2026/06/28,札幌支店,インテリア小物,IN-003,ラタン小物かご,4,950,3800
2026/06/28,札幌支店,バス・サニタリー,BS-004,ヒノキの入浴剤 10包,7,920,6440
2026/06/28,札幌支店,ガーデン雑貨,GD-003,ガーデンピック 3本組,4,480,1920
2026/06/28,札幌支店,ガーデン雑貨,GD-004,多肉植物用ミニポット,7,380,2660
2026/06/28,仙台支店,キッチン雑貨,KT-002,ホーロー保存容器 3点セット,5,1980,9900
2026/06/28,仙台支店,ステーショナリー,ST-001,真鍮ボールペン,5,980,4900
2026/06/28,仙台支店,ステーショナリー,ST-002,活版印刷メモパッド,10,420,4200
2026/06/28,仙台支店,ステーショナリー,ST-003,リネン表紙ノート A5,10,680,6800
2026/06/28,仙台支店,インテリア小物,IN-001,アロマキャンドル,6,880,5280
2026/06/28,仙台支店,バス・サニタリー,BS-001,オーガニックコットンタオル,6,1180,7080
2026/06/28,仙台支店,バス・サニタリー,BS-002,陶器のソープディッシュ,3,640,1920
2026/06/28,仙台支店,バス・サニタリー,BS-003,バスソルト 3種セット,3,1380,4140
2026/06/28,仙台支店,ガーデン雑貨,GD-003,ガーデンピック 3本組,6,480,2880
2026/06/28,仙台支店,ラッピング用品,GF-003,ギフトボックス 小 5個組,9,880,7920
