日付,支店,カテゴリ,商品コード,商品名,数量,単価,金額
2026/05/16,東京本店,キッチン雑貨,KT-002,ホーロー保存容器 3点セット,12,1980,23760
2026/05/16,東京本店,ステーショナリー,ST-004,マスキングテープ 12色セット,7,1250,8750
2026/05/16,東京本店,インテリア小物,IN-003,ラタン小物かご,7,950,6650
2026/05/16,東京本店,バス・サニタリー,BS-002,陶器のソープディッシュ,10,640,6400
2026/05/16,東京本店,バス・サニタリー,BS-004,ヒノキの入浴剤 10包,8,920,7360
2026/05/16,東京本店,ガーデン雑貨,GD-004,多肉植物用ミニポット,24,380,9120
2026/05/16,大阪支店,キッチン雑貨,KT-002,ホーロー保存容器 3点セット,6,1980,11880
2026/05/16,大阪支店,キッチン雑貨,KT-003,シリコン調理スプーン,18,520,9360
2026/05/16,大阪支店,インテリア小物,IN-001,アロマキャンドル,16,880,14080
2026/05/16,大阪支店,インテリア小物,IN-004,陶器の一輪挿し,7,720,5040
2026/05/16,大阪支店,バス・サニタリー,BS-001,オーガニックコットンタオル,13,1180,15340
2026/05/16,大阪支店,バス・サニタリー,BS-002,陶器のソープディッシュ,9,640,5760
2026/05/16,大阪支店,バス・サニタリー,BS-003,バスソルト 3種セット,9,1380,12420
2026/05/16,大阪支店,ラッピング用品,GF-003,ギフトボックス 小 5個組,18,880,15840
2026/05/16,名古屋支店,キッチン雑貨,KT-001,木製カッティングボード,8,1480,11840
2026/05/16,名古屋支店,ステーショナリー,ST-001,真鍮ボールペン,13,980,12740
2026/05/16,名古屋支店,ステーショナリー,ST-004,マスキングテープ 12色セット,5,1250,6250
2026/05/16,名古屋支店,バス・サニタリー,BS-001,オーガニックコットンタオル,10,1180,11800
2026/05/16,名古屋支店,バス・サニタリー,BS-003,バスソルト 3種セット,5,1380,6900
2026/05/16,名古屋支店,ラッピング用品,GF-003,ギフトボックス 小 5個組,16,880,14080
2026/05/16,福岡支店,キッチン雑貨,KT-003,シリコン調理スプーン,12,520,6240
2026/05/16,福岡支店,ステーショナリー,ST-002,活版印刷メモパッド,13,420,5460
2026/05/16,福岡支店,インテリア小物,IN-001,アロマキャンドル,8,880,7040
2026/05/16,福岡支店,インテリア小物,IN-003,ラタン小物かご,6,950,5700
2026/05/16,福岡支店,インテリア小物,IN-004,陶器の一輪挿し,3,720,2160
2026/05/16,福岡支店,ガーデン雑貨,GD-003,ガーデンピック 3本組,5,480,2400
2026/05/16,札幌支店,ステーショナリー,ST-002,活版印刷メモパッド,8,420,3360
2026/05/16,札幌支店,ステーショナリー,ST-003,リネン表紙ノート A5,9,680,6120
2026/05/16,札幌支店,インテリア小物,IN-002,ガラスフラワーベース,2,1650,3300
2026/05/16,札幌支店,インテリア小物,IN-003,ラタン小物かご,6,950,5700
2026/05/16,札幌支店,ガーデン雑貨,GD-002,ブリキのじょうろ,2,1750,3500
2026/05/16,札幌支店,ガーデン雑貨,GD-003,ガーデンピック 3本組,9,480,4320
2026/05/16,仙台支店,キッチン雑貨,KT-003,シリコン調理スプーン,5,520,2600
2026/05/16,仙台支店,バス・サニタリー,BS-001,オーガニックコットンタオル,8,1180,9440
2026/05/16,仙台支店,バス・サニタリー,BS-004,ヒノキの入浴剤 10包,4,920,3680
2026/05/16,仙台支店,ラッピング用品,GF-001,クラフト紙ギフトバッグ 10枚,9,650,5850
2026/05/16,仙台支店,ラッピング用品,GF-003,ギフトボックス 小 5個組,10,880,8800
