日付,支店,カテゴリ,商品コード,商品名,数量,単価,金額
2026/05/21,東京本店,キッチン雑貨,KT-001,木製カッティングボード,34,1480,50320
2026/05/21,東京本店,キッチン雑貨,KT-003,シリコン調理スプーン,35,520,18200
2026/05/21,東京本店,キッチン雑貨,KT-004,リネンキッチンクロス 2枚組,32,780,24960
2026/05/21,東京本店,ステーショナリー,ST-001,真鍮ボールペン,26,980,25480
2026/05/21,東京本店,ステーショナリー,ST-004,マスキングテープ 12色セット,33,1250,41250
2026/05/21,東京本店,インテリア小物,IN-001,アロマキャンドル,52,880,45760
2026/05/21,東京本店,インテリア小物,IN-003,ラタン小物かご,15,950,14250
2026/05/21,東京本店,バス・サニタリー,BS-001,オーガニックコットンタオル,54,1180,63720
2026/05/21,東京本店,バス・サニタリー,BS-002,陶器のソープディッシュ,33,640,21120
2026/05/21,東京本店,バス・サニタリー,BS-004,ヒノキの入浴剤 10包,43,920,39560
2026/05/21,東京本店,ガーデン雑貨,GD-001,テラコッタ植木鉢 S,55,560,30800
2026/05/21,東京本店,ガーデン雑貨,GD-002,ブリキのじょうろ,18,1750,31500
2026/05/21,東京本店,ラッピング用品,GF-003,ギフトボックス 小 5個組,40,880,35200
2026/05/21,大阪支店,キッチン雑貨,KT-002,ホーロー保存容器 3点セット,28,1980,55440
2026/05/21,大阪支店,キッチン雑貨,KT-003,シリコン調理スプーン,56,520,29120
2026/05/21,大阪支店,キッチン雑貨,KT-004,リネンキッチンクロス 2枚組,48,780,37440
2026/05/21,大阪支店,ステーショナリー,ST-001,真鍮ボールペン,26,980,25480
2026/05/21,大阪支店,インテリア小物,IN-002,ガラスフラワーベース,11,1650,18150
2026/05/21,大阪支店,バス・サニタリー,BS-001,オーガニックコットンタオル,21,1180,24780
2026/05/21,大阪支店,バス・サニタリー,BS-002,陶器のソープディッシュ,22,640,14080
2026/05/21,大阪支店,ガーデン雑貨,GD-002,ブリキのじょうろ,15,1750,26250
2026/05/21,大阪支店,ラッピング用品,GF-001,クラフト紙ギフトバッグ 10枚,82,650,53300
2026/05/21,大阪支店,ラッピング用品,GF-002,サテンリボン 5色セット,49,540,26460
