日付,支店,カテゴリ,商品コード,商品名,数量,単価,金額
2026/05/05,東京本店,キッチン雑貨,KT-001,木製カッティングボード,32,1480,47360
2026/05/05,東京本店,キッチン雑貨,KT-004,リネンキッチンクロス 2枚組,46,780,35880
2026/05/05,東京本店,ステーショナリー,ST-001,真鍮ボールペン,56,980,54880
2026/05/05,東京本店,ステーショナリー,ST-002,活版印刷メモパッド,93,420,39060
2026/05/05,東京本店,ステーショナリー,ST-003,リネン表紙ノート A5,79,680,53720
2026/05/05,東京本店,ステーショナリー,ST-004,マスキングテープ 12色セット,30,1250,37500
2026/05/05,東京本店,インテリア小物,IN-002,ガラスフラワーベース,16,1650,26400
2026/05/05,東京本店,バス・サニタリー,BS-001,オーガニックコットンタオル,33,1180,38940
2026/05/05,東京本店,バス・サニタリー,BS-003,バスソルト 3種セット,22,1380,30360
2026/05/05,東京本店,ガーデン雑貨,GD-001,テラコッタ植木鉢 S,50,560,28000
2026/05/05,東京本店,ガーデン雑貨,GD-002,ブリキのじょうろ,15,1750,26250
2026/05/05,東京本店,ガーデン雑貨,GD-003,ガーデンピック 3本組,38,480,18240
2026/05/05,東京本店,ガーデン雑貨,GD-004,多肉植物用ミニポット,62,380,23560
2026/05/05,東京本店,ラッピング用品,GF-001,クラフト紙ギフトバッグ 10枚,108,650,70200
2026/05/05,東京本店,ラッピング用品,GF-003,ギフトボックス 小 5個組,57,880,50160
2026/05/05,東京本店,ラッピング用品,GF-004,和紙包装紙 20枚入,27,1150,31050
2026/05/05,大阪支店,キッチン雑貨,KT-001,木製カッティングボード,26,1480,38480
2026/05/05,大阪支店,キッチン雑貨,KT-002,ホーロー保存容器 3点セット,24,1980,47520
2026/05/05,大阪支店,キッチン雑貨,KT-004,リネンキッチンクロス 2枚組,26,780,20280
2026/05/05,大阪支店,ステーショナリー,ST-001,真鍮ボールペン,46,980,45080
2026/05/05,大阪支店,ステーショナリー,ST-002,活版印刷メモパッド,80,420,33600
2026/05/05,大阪支店,ステーショナリー,ST-003,リネン表紙ノート A5,33,680,22440
2026/05/05,大阪支店,ステーショナリー,ST-004,マスキングテープ 12色セット,15,1250,18750
2026/05/05,大阪支店,インテリア小物,IN-001,アロマキャンドル,51,880,44880
2026/05/05,大阪支店,インテリア小物,IN-003,ラタン小物かご,23,950,21850
2026/05/05,大阪支店,バス・サニタリー,BS-001,オーガニックコットンタオル,33,1180,38940
2026/05/05,大阪支店,バス・サニタリー,BS-004,ヒノキの入浴剤 10包,16,920,14720
2026/05/05,大阪支店,ガーデン雑貨,GD-001,テラコッタ植木鉢 S,41,560,22960
2026/05/05,大阪支店,ガーデン雑貨,GD-002,ブリキのじょうろ,12,1750,21000
2026/05/05,大阪支店,ガーデン雑貨,GD-003,ガーデンピック 3本組,20,480,9600
2026/05/05,大阪支店,ラッピング用品,GF-001,クラフト紙ギフトバッグ 10枚,71,650,46150
2026/05/05,大阪支店,ラッピング用品,GF-003,ギフトボックス 小 5個組,27,880,23760
2026/05/05,大阪支店,ラッピング用品,GF-004,和紙包装紙 20枚入,29,1150,33350
2026/05/05,名古屋支店,キッチン雑貨,KT-001,木製カッティングボード,23,1480,34040
2026/05/05,名古屋支店,キッチン雑貨,KT-002,ホーロー保存容器 3点セット,21,1980,41580
2026/05/05,名古屋支店,キッチン雑貨,KT-003,シリコン調理スプーン,43,520,22360
2026/05/05,名古屋支店,キッチン雑貨,KT-004,リネンキッチンクロス 2枚組,42,780,32760
2026/05/05,名古屋支店,ステーショナリー,ST-002,活版印刷メモパッド,34,420,14280
2026/05/05,名古屋支店,ステーショナリー,ST-003,リネン表紙ノート A5,58,680,39440
2026/05/05,名古屋支店,インテリア小物,IN-001,アロマキャンドル,23,880,20240
2026/05/05,名古屋支店,バス・サニタリー,BS-001,オーガニックコットンタオル,37,1180,43660
2026/05/05,名古屋支店,バス・サニタリー,BS-003,バスソルト 3種セット,24,1380,33120
2026/05/05,名古屋支店,バス・サニタリー,BS-004,ヒノキの入浴剤 10包,29,920,26680
2026/05/05,名古屋支店,ガーデン雑貨,GD-001,テラコッタ植木鉢 S,24,560,13440
2026/05/05,名古屋支店,ガーデン雑貨,GD-003,ガーデンピック 3本組,23,480,11040
2026/05/05,名古屋支店,ラッピング用品,GF-001,クラフト紙ギフトバッグ 10枚,53,650,34450
2026/05/05,福岡支店,キッチン雑貨,KT-001,木製カッティングボード,11,1480,16280
2026/05/05,福岡支店,キッチン雑貨,KT-003,シリコン調理スプーン,29,520,15080
2026/05/05,福岡支店,ステーショナリー,ST-001,真鍮ボールペン,30,980,29400
2026/05/05,福岡支店,ステーショナリー,ST-002,活版印刷メモパッド,37,420,15540
2026/05/05,福岡支店,ステーショナリー,ST-003,リネン表紙ノート A5,25,680,17000
2026/05/05,福岡支店,ステーショナリー,ST-004,マスキングテープ 12色セット,22,1250,27500
2026/05/05,福岡支店,インテリア小物,IN-001,アロマキャンドル,30,880,26400
2026/05/05,福岡支店,インテリア小物,IN-004,陶器の一輪挿し,15,720,10800
2026/05/05,福岡支店,バス・サニタリー,BS-001,オーガニックコットンタオル,33,1180,38940
2026/05/05,福岡支店,バス・サニタリー,BS-002,陶器のソープディッシュ,11,640,7040
2026/05/05,福岡支店,バス・サニタリー,BS-003,バスソルト 3種セット,19,1380,26220
2026/05/05,福岡支店,バス・サニタリー,BS-004,ヒノキの入浴剤 10包,14,920,12880
2026/05/05,福岡支店,ガーデン雑貨,GD-003,ガーデンピック 3本組,23,480,11040
2026/05/05,福岡支店,ラッピング用品,GF-002,サテンリボン 5色セット,31,540,16740
2026/05/05,福岡支店,ラッピング用品,GF-003,ギフトボックス 小 5個組,29,880,25520
2026/05/05,福岡支店,ラッピング用品,GF-004,和紙包装紙 20枚入,17,1150,19550
2026/05/05,札幌支店,キッチン雑貨,KT-001,木製カッティングボード,15,1480,22200
2026/05/05,札幌支店,キッチン雑貨,KT-003,シリコン調理スプーン,27,520,14040
2026/05/05,札幌支店,ステーショナリー,ST-002,活版印刷メモパッド,27,420,11340
2026/05/05,札幌支店,ステーショナリー,ST-003,リネン表紙ノート A5,23,680,15640
2026/05/05,札幌支店,インテリア小物,IN-002,ガラスフラワーベース,7,1650,11550
2026/05/05,札幌支店,バス・サニタリー,BS-001,オーガニックコットンタオル,24,1180,28320
2026/05/05,札幌支店,バス・サニタリー,BS-003,バスソルト 3種セット,13,1380,17940
2026/05/05,札幌支店,バス・サニタリー,BS-004,ヒノキの入浴剤 10包,18,920,16560
2026/05/05,札幌支店,ガーデン雑貨,GD-001,テラコッタ植木鉢 S,17,560,9520
2026/05/05,札幌支店,ガーデン雑貨,GD-003,ガーデンピック 3本組,19,480,9120
2026/05/05,札幌支店,ガーデン雑貨,GD-004,多肉植物用ミニポット,30,380,11400
2026/05/05,札幌支店,ラッピング用品,GF-001,クラフト紙ギフトバッグ 10枚,55,650,35750
2026/05/05,札幌支店,ラッピング用品,GF-003,ギフトボックス 小 5個組,28,880,24640
2026/05/05,札幌支店,ラッピング用品,GF-004,和紙包装紙 20枚入,16,1150,18400
2026/05/05,仙台支店,キッチン雑貨,KT-002,ホーロー保存容器 3点セット,14,1980,27720
2026/05/05,仙台支店,ステーショナリー,ST-002,活版印刷メモパッド,30,420,12600
2026/05/05,仙台支店,ステーショナリー,ST-003,リネン表紙ノート A5,31,680,21080
