日付,支店,カテゴリ,商品コード,商品名,数量,単価,金額
2026/06/01,東京本店,キッチン雑貨,KT-001,木製カッティングボード,30,1480,44400
2026/06/01,東京本店,キッチン雑貨,KT-002,ホーロー保存容器 3点セット,28,1980,55440
2026/06/01,東京本店,キッチン雑貨,KT-003,シリコン調理スプーン,56,520,29120
2026/06/01,東京本店,キッチン雑貨,KT-004,リネンキッチンクロス 2枚組,32,780,24960
2026/06/01,東京本店,ステーショナリー,ST-001,真鍮ボールペン,37,980,36260
2026/06/01,東京本店,ステーショナリー,ST-002,活版印刷メモパッド,90,420,37800
2026/06/01,東京本店,ステーショナリー,ST-003,リネン表紙ノート A5,62,680,42160
2026/06/01,東京本店,インテリア小物,IN-001,アロマキャンドル,56,880,49280
2026/06/01,東京本店,インテリア小物,IN-002,ガラスフラワーベース,24,1650,39600
2026/06/01,東京本店,インテリア小物,IN-003,ラタン小物かご,18,950,17100
2026/06/01,東京本店,バス・サニタリー,BS-001,オーガニックコットンタオル,50,1180,59000
2026/06/01,東京本店,バス・サニタリー,BS-003,バスソルト 3種セット,33,1380,45540
2026/06/01,東京本店,バス・サニタリー,BS-004,ヒノキの入浴剤 10包,39,920,35880
2026/06/01,東京本店,ガーデン雑貨,GD-001,テラコッタ植木鉢 S,48,560,26880
2026/06/01,東京本店,ガーデン雑貨,GD-002,ブリキのじょうろ,17,1750,29750
2026/06/01,東京本店,ラッピング用品,GF-001,クラフト紙ギフトバッグ 10枚,93,650,60450
2026/06/01,東京本店,ラッピング用品,GF-003,ギフトボックス 小 5個組,67,880,58960
2026/06/01,大阪支店,キッチン雑貨,KT-002,ホーロー保存容器 3点セット,21,1980,41580
2026/06/01,大阪支店,キッチン雑貨,KT-003,シリコン調理スプーン,39,520,20280
2026/06/01,大阪支店,ステーショナリー,ST-002,活版印刷メモパッド,56,420,23520
2026/06/01,大阪支店,ステーショナリー,ST-003,リネン表紙ノート A5,54,680,36720
2026/06/01,大阪支店,ステーショナリー,ST-004,マスキングテープ 12色セット,15,1250,18750
2026/06/01,大阪支店,インテリア小物,IN-001,アロマキャンドル,45,880,39600
2026/06/01,大阪支店,インテリア小物,IN-002,ガラスフラワーベース,14,1650,23100
2026/06/01,大阪支店,インテリア小物,IN-004,陶器の一輪挿し,10,720,7200
2026/06/01,大阪支店,バス・サニタリー,BS-003,バスソルト 3種セット,14,1380,19320
2026/06/01,大阪支店,ガーデン雑貨,GD-001,テラコッタ植木鉢 S,43,560,24080
2026/06/01,大阪支店,ラッピング用品,GF-001,クラフト紙ギフトバッグ 10枚,49,650,31850
2026/06/01,大阪支店,ラッピング用品,GF-002,サテンリボン 5色セット,32,540,17280
2026/06/01,大阪支店,ラッピング用品,GF-004,和紙包装紙 20枚入,30,1150,34500
2026/06/01,名古屋支店,キッチン雑貨,KT-002,ホーロー保存容器 3点セット,24,1980,47520
2026/06/01,名古屋支店,キッチン雑貨,KT-004,リネンキッチンクロス 2枚組,26,780,20280
2026/06/01,名古屋支店,ステーショナリー,ST-001,真鍮ボールペン,39,980,38220
