日付,支店,カテゴリ,商品コード,商品名,数量,単価,金額
2026/05/13,東京本店,キッチン雑貨,KT-003,シリコン調理スプーン,39,520,20280
2026/05/13,東京本店,キッチン雑貨,KT-004,リネンキッチンクロス 2枚組,39,780,30420
2026/05/13,東京本店,ステーショナリー,ST-001,真鍮ボールペン,44,980,43120
2026/05/13,東京本店,ステーショナリー,ST-003,リネン表紙ノート A5,67,680,45560
2026/05/13,東京本店,ステーショナリー,ST-004,マスキングテープ 12色セット,19,1250,23750
2026/05/13,東京本店,インテリア小物,IN-002,ガラスフラワーベース,22,1650,36300
2026/05/13,東京本店,インテリア小物,IN-003,ラタン小物かご,36,950,34200
2026/05/13,東京本店,バス・サニタリー,BS-001,オーガニックコットンタオル,21,1180,24780
2026/05/13,東京本店,ガーデン雑貨,GD-002,ブリキのじょうろ,18,1750,31500
2026/05/13,東京本店,ガーデン雑貨,GD-003,ガーデンピック 3本組,22,480,10560
2026/05/13,東京本店,ラッピング用品,GF-001,クラフト紙ギフトバッグ 10枚,98,650,63700
2026/05/13,東京本店,ラッピング用品,GF-003,ギフトボックス 小 5個組,50,880,44000
2026/05/13,大阪支店,キッチン雑貨,KT-001,木製カッティングボード,27,1480,39960
2026/05/13,大阪支店,キッチン雑貨,KT-002,ホーロー保存容器 3点セット,16,1980,31680
2026/05/13,大阪支店,キッチン雑貨,KT-003,シリコン調理スプーン,30,520,15600
2026/05/13,大阪支店,キッチン雑貨,KT-004,リネンキッチンクロス 2枚組,47,780,36660
2026/05/13,大阪支店,ステーショナリー,ST-001,真鍮ボールペン,21,980,20580
2026/05/13,大阪支店,ステーショナリー,ST-002,活版印刷メモパッド,79,420,33180
2026/05/13,大阪支店,ステーショナリー,ST-003,リネン表紙ノート A5,33,680,22440
2026/05/13,大阪支店,ステーショナリー,ST-004,マスキングテープ 12色セット,16,1250,20000
2026/05/13,大阪支店,インテリア小物,IN-004,陶器の一輪挿し,18,720,12960
2026/05/13,大阪支店,バス・サニタリー,BS-003,バスソルト 3種セット,25,1380,34500
2026/05/13,大阪支店,ガーデン雑貨,GD-001,テラコッタ植木鉢 S,44,560,24640
2026/05/13,大阪支店,ガーデン雑貨,GD-002,ブリキのじょうろ,12,1750,21000
2026/05/13,大阪支店,ガーデン雑貨,GD-004,多肉植物用ミニポット,47,380,17860
2026/05/13,大阪支店,ラッピング用品,GF-001,クラフト紙ギフトバッグ 10枚,54,650,35100
2026/05/13,大阪支店,ラッピング用品,GF-002,サテンリボン 5色セット,27,540,14580
2026/05/13,大阪支店,ラッピング用品,GF-003,ギフトボックス 小 5個組,43,880,37840
2026/05/13,大阪支店,ラッピング用品,GF-004,和紙包装紙 20枚入,30,1150,34500
2026/05/13,名古屋支店,キッチン雑貨,KT-001,木製カッティングボード,22,1480,32560
2026/05/13,名古屋支店,キッチン雑貨,KT-002,ホーロー保存容器 3点セット,18,1980,35640
2026/05/13,名古屋支店,キッチン雑貨,KT-003,シリコン調理スプーン,29,520,15080
2026/05/13,名古屋支店,キッチン雑貨,KT-004,リネンキッチンクロス 2枚組,31,780,24180
2026/05/13,名古屋支店,ステーショナリー,ST-001,真鍮ボールペン,26,980,25480
2026/05/13,名古屋支店,ステーショナリー,ST-003,リネン表紙ノート A5,64,680,43520
2026/05/13,名古屋支店,ステーショナリー,ST-004,マスキングテープ 12色セット,24,1250,30000
2026/05/13,名古屋支店,インテリア小物,IN-003,ラタン小物かご,26,950,24700
2026/05/13,名古屋支店,バス・サニタリー,BS-001,オーガニックコットンタオル,21,1180,24780
2026/05/13,名古屋支店,バス・サニタリー,BS-004,ヒノキの入浴剤 10包,18,920,16560
2026/05/13,名古屋支店,ガーデン雑貨,GD-003,ガーデンピック 3本組,38,480,18240
2026/05/13,名古屋支店,ガーデン雑貨,GD-004,多肉植物用ミニポット,53,380,20140
2026/05/13,名古屋支店,ラッピング用品,GF-002,サテンリボン 5色セット,45,540,24300
2026/05/13,名古屋支店,ラッピング用品,GF-003,ギフトボックス 小 5個組,24,880,21120
2026/05/13,福岡支店,キッチン雑貨,KT-002,ホーロー保存容器 3点セット,15,1980,29700
2026/05/13,福岡支店,キッチン雑貨,KT-004,リネンキッチンクロス 2枚組,39,780,30420
2026/05/13,福岡支店,ステーショナリー,ST-001,真鍮ボールペン,23,980,22540
2026/05/13,福岡支店,ステーショナリー,ST-002,活版印刷メモパッド,63,420,26460
2026/05/13,福岡支店,ステーショナリー,ST-003,リネン表紙ノート A5,48,680,32640
2026/05/13,福岡支店,インテリア小物,IN-001,アロマキャンドル,18,880,15840
2026/05/13,福岡支店,インテリア小物,IN-002,ガラスフラワーベース,8,1650,13200
2026/05/13,福岡支店,バス・サニタリー,BS-003,バスソルト 3種セット,20,1380,27600
2026/05/13,福岡支店,バス・サニタリー,BS-004,ヒノキの入浴剤 10包,15,920,13800
2026/05/13,福岡支店,ガーデン雑貨,GD-001,テラコッタ植木鉢 S,21,560,11760
2026/05/13,福岡支店,ラッピング用品,GF-001,クラフト紙ギフトバッグ 10枚,46,650,29900
2026/05/13,福岡支店,ラッピング用品,GF-002,サテンリボン 5色セット,38,540,20520
2026/05/13,福岡支店,ラッピング用品,GF-003,ギフトボックス 小 5個組,19,880,16720
2026/05/13,福岡支店,ラッピング用品,GF-004,和紙包装紙 20枚入,20,1150,23000
2026/05/13,札幌支店,キッチン雑貨,KT-001,木製カッティングボード,12,1480,17760
2026/05/13,札幌支店,キッチン雑貨,KT-004,リネンキッチンクロス 2枚組,33,780,25740
2026/05/13,札幌支店,ステーショナリー,ST-003,リネン表紙ノート A5,43,680,29240
2026/05/13,札幌支店,インテリア小物,IN-001,アロマキャンドル,27,880,23760
