日付,支店,カテゴリ,商品コード,商品名,数量,単価,金額
2026/05/18,東京本店,キッチン雑貨,KT-002,ホーロー保存容器 3点セット,30,1980,59400
2026/05/18,東京本店,ステーショナリー,ST-001,真鍮ボールペン,27,980,26460
2026/05/18,東京本店,ステーショナリー,ST-003,リネン表紙ノート A5,42,680,28560
2026/05/18,東京本店,インテリア小物,IN-001,アロマキャンドル,60,880,52800
2026/05/18,東京本店,ガーデン雑貨,GD-002,ブリキのじょうろ,16,1750,28000
2026/05/18,東京本店,ラッピング用品,GF-001,クラフト紙ギフトバッグ 10枚,97,650,63050
2026/05/18,大阪支店,キッチン雑貨,KT-001,木製カッティングボード,12,1480,17760
2026/05/18,大阪支店,キッチン雑貨,KT-003,シリコン調理スプーン,55,520,28600
2026/05/18,大阪支店,キッチン雑貨,KT-004,リネンキッチンクロス 2枚組,35,780,27300
2026/05/18,大阪支店,ステーショナリー,ST-001,真鍮ボールペン,39,980,38220
2026/05/18,大阪支店,ステーショナリー,ST-003,リネン表紙ノート A5,34,680,23120
2026/05/18,大阪支店,インテリア小物,IN-002,ガラスフラワーベース,16,1650,26400
2026/05/18,大阪支店,バス・サニタリー,BS-001,オーガニックコットンタオル,21,1180,24780
2026/05/18,大阪支店,バス・サニタリー,BS-002,陶器のソープディッシュ,15,640,9600
2026/05/18,大阪支店,バス・サニタリー,BS-004,ヒノキの入浴剤 10包,23,920,21160
2026/05/18,大阪支店,ガーデン雑貨,GD-001,テラコッタ植木鉢 S,40,560,22400
2026/05/18,大阪支店,ラッピング用品,GF-001,クラフト紙ギフトバッグ 10枚,59,650,38350
2026/05/18,名古屋支店,キッチン雑貨,KT-001,木製カッティングボード,18,1480,26640
2026/05/18,名古屋支店,キッチン雑貨,KT-003,シリコン調理スプーン,29,520,15080
2026/05/18,名古屋支店,キッチン雑貨,KT-004,リネンキッチンクロス 2枚組,31,780,24180
2026/05/18,名古屋支店,ステーショナリー,ST-001,真鍮ボールペン,17,980,16660
2026/05/18,名古屋支店,ステーショナリー,ST-003,リネン表紙ノート A5,52,680,35360
2026/05/18,名古屋支店,インテリア小物,IN-001,アロマキャンドル,43,880,37840
2026/05/18,名古屋支店,インテリア小物,IN-003,ラタン小物かご,19,950,18050
2026/05/18,名古屋支店,バス・サニタリー,BS-001,オーガニックコットンタオル,15,1180,17700
2026/05/18,名古屋支店,バス・サニタリー,BS-002,陶器のソープディッシュ,20,640,12800
2026/05/18,名古屋支店,バス・サニタリー,BS-003,バスソルト 3種セット,19,1380,26220
2026/05/18,名古屋支店,バス・サニタリー,BS-004,ヒノキの入浴剤 10包,14,920,12880
2026/05/18,名古屋支店,ガーデン雑貨,GD-001,テラコッタ植木鉢 S,16,560,8960
2026/05/18,名古屋支店,ガーデン雑貨,GD-002,ブリキのじょうろ,14,1750,24500
2026/05/18,名古屋支店,ラッピング用品,GF-002,サテンリボン 5色セット,20,540,10800
2026/05/18,名古屋支店,ラッピング用品,GF-003,ギフトボックス 小 5個組,21,880,18480
2026/05/18,名古屋支店,ラッピング用品,GF-004,和紙包装紙 20枚入,13,1150,14950
2026/05/18,福岡支店,ステーショナリー,ST-001,真鍮ボールペン,22,980,21560
2026/05/18,福岡支店,ステーショナリー,ST-002,活版印刷メモパッド,60,420,25200
2026/05/18,福岡支店,ステーショナリー,ST-003,リネン表紙ノート A5,39,680,26520
2026/05/18,福岡支店,インテリア小物,IN-001,アロマキャンドル,36,880,31680
2026/05/18,福岡支店,インテリア小物,IN-002,ガラスフラワーベース,10,1650,16500
2026/05/18,福岡支店,インテリア小物,IN-003,ラタン小物かご,20,950,19000
2026/05/18,福岡支店,バス・サニタリー,BS-002,陶器のソープディッシュ,14,640,8960
2026/05/18,福岡支店,ガーデン雑貨,GD-003,ガーデンピック 3本組,16,480,7680
2026/05/18,福岡支店,ガーデン雑貨,GD-004,多肉植物用ミニポット,40,380,15200
2026/05/18,福岡支店,ラッピング用品,GF-001,クラフト紙ギフトバッグ 10枚,54,650,35100
2026/05/18,福岡支店,ラッピング用品,GF-002,サテンリボン 5色セット,37,540,19980
2026/05/18,福岡支店,ラッピング用品,GF-003,ギフトボックス 小 5個組,20,880,17600
2026/05/18,福岡支店,ラッピング用品,GF-004,和紙包装紙 20枚入,20,1150,23000
2026/05/18,札幌支店,キッチン雑貨,KT-001,木製カッティングボード,12,1480,17760
2026/05/18,札幌支店,キッチン雑貨,KT-002,ホーロー保存容器 3点セット,9,1980,17820
2026/05/18,札幌支店,キッチン雑貨,KT-004,リネンキッチンクロス 2枚組,20,780,15600
2026/05/18,札幌支店,ステーショナリー,ST-003,リネン表紙ノート A5,40,680,27200
2026/05/18,札幌支店,ステーショナリー,ST-004,マスキングテープ 12色セット,15,1250,18750
2026/05/18,札幌支店,インテリア小物,IN-001,アロマキャンドル,25,880,22000
2026/05/18,札幌支店,インテリア小物,IN-004,陶器の一輪挿し,12,720,8640
2026/05/18,札幌支店,バス・サニタリー,BS-001,オーガニックコットンタオル,28,1180,33040
2026/05/18,札幌支店,バス・サニタリー,BS-003,バスソルト 3種セット,10,1380,13800
2026/05/18,札幌支店,バス・サニタリー,BS-004,ヒノキの入浴剤 10包,11,920,10120
2026/05/18,札幌支店,ガーデン雑貨,GD-002,ブリキのじょうろ,6,1750,10500
2026/05/18,札幌支店,ガーデン雑貨,GD-003,ガーデンピック 3本組,29,480,13920
2026/05/18,札幌支店,ガーデン雑貨,GD-004,多肉植物用ミニポット,37,380,14060
2026/05/18,札幌支店,ラッピング用品,GF-001,クラフト紙ギフトバッグ 10枚,28,650,18200
2026/05/18,札幌支店,ラッピング用品,GF-003,ギフトボックス 小 5個組,17,880,14960
2026/05/18,仙台支店,キッチン雑貨,KT-001,木製カッティングボード,11,1480,16280
2026/05/18,仙台支店,キッチン雑貨,KT-002,ホーロー保存容器 3点セット,14,1980,27720
2026/05/18,仙台支店,キッチン雑貨,KT-003,シリコン調理スプーン,32,520,16640
2026/05/18,仙台支店,キッチン雑貨,KT-004,リネンキッチンクロス 2枚組,23,780,17940
2026/05/18,仙台支店,ステーショナリー,ST-001,真鍮ボールペン,28,980,27440
2026/05/18,仙台支店,ステーショナリー,ST-002,活版印刷メモパッド,44,420,18480
2026/05/18,仙台支店,ステーショナリー,ST-003,リネン表紙ノート A5,43,680,29240
2026/05/18,仙台支店,ステーショナリー,ST-004,マスキングテープ 12色セット,13,1250,16250
2026/05/18,仙台支店,インテリア小物,IN-001,アロマキャンドル,22,880,19360
2026/05/18,仙台支店,インテリア小物,IN-002,ガラスフラワーベース,8,1650,13200
2026/05/18,仙台支店,インテリア小物,IN-004,陶器の一輪挿し,14,720,10080
2026/05/18,仙台支店,バス・サニタリー,BS-001,オーガニックコットンタオル,17,1180,20060
2026/05/18,仙台支店,バス・サニタリー,BS-002,陶器のソープディッシュ,17,640,10880
2026/05/18,仙台支店,ガーデン雑貨,GD-001,テラコッタ植木鉢 S,28,560,15680
2026/05/18,仙台支店,ガーデン雑貨,GD-002,ブリキのじょうろ,10,1750,17500
2026/05/18,仙台支店,ラッピング用品,GF-001,クラフト紙ギフトバッグ 10枚,26,650,16900
2026/05/18,仙台支店,ラッピング用品,GF-003,ギフトボックス 小 5個組,19,880,16720
2026/05/18,仙台支店,ラッピング用品,GF-004,和紙包装紙 20枚入,13,1150,14950
