日付,支店,カテゴリ,商品コード,商品名,数量,単価,金額
2026/05/24,東京本店,キッチン雑貨,KT-001,木製カッティングボード,11,1480,16280
2026/05/24,東京本店,ステーショナリー,ST-002,活版印刷メモパッド,16,420,6720
2026/05/24,東京本店,ステーショナリー,ST-003,リネン表紙ノート A5,16,680,10880
2026/05/24,東京本店,ステーショナリー,ST-004,マスキングテープ 12色セット,11,1250,13750
2026/05/24,東京本店,インテリア小物,IN-004,陶器の一輪挿し,9,720,6480
2026/05/24,東京本店,ラッピング用品,GF-003,ギフトボックス 小 5個組,21,880,18480
2026/05/24,大阪支店,ステーショナリー,ST-001,真鍮ボールペン,7,980,6860
2026/05/24,大阪支店,ステーショナリー,ST-004,マスキングテープ 12色セット,10,1250,12500
2026/05/24,大阪支店,インテリア小物,IN-002,ガラスフラワーベース,5,1650,8250
2026/05/24,大阪支店,バス・サニタリー,BS-002,陶器のソープディッシュ,5,640,3200
2026/05/24,大阪支店,ガーデン雑貨,GD-001,テラコッタ植木鉢 S,15,560,8400
2026/05/24,大阪支店,ガーデン雑貨,GD-004,多肉植物用ミニポット,17,380,6460
2026/05/24,名古屋支店,キッチン雑貨,KT-001,木製カッティングボード,6,1480,8880
2026/05/24,名古屋支店,ステーショナリー,ST-002,活版印刷メモパッド,21,420,8820
2026/05/24,名古屋支店,インテリア小物,IN-001,アロマキャンドル,15,880,13200
2026/05/24,名古屋支店,インテリア小物,IN-002,ガラスフラワーベース,4,1650,6600
2026/05/24,名古屋支店,バス・サニタリー,BS-001,オーガニックコットンタオル,7,1180,8260
2026/05/24,名古屋支店,ガーデン雑貨,GD-001,テラコッタ植木鉢 S,12,560,6720
2026/05/24,名古屋支店,ガーデン雑貨,GD-003,ガーデンピック 3本組,8,480,3840
2026/05/24,名古屋支店,ラッピング用品,GF-002,サテンリボン 5色セット,11,540,5940
2026/05/24,福岡支店,キッチン雑貨,KT-002,ホーロー保存容器 3点セット,4,1980,7920
2026/05/24,福岡支店,ステーショナリー,ST-001,真鍮ボールペン,5,980,4900
2026/05/24,福岡支店,ステーショナリー,ST-002,活版印刷メモパッド,15,420,6300
2026/05/24,福岡支店,バス・サニタリー,BS-004,ヒノキの入浴剤 10包,9,920,8280
2026/05/24,福岡支店,ガーデン雑貨,GD-002,ブリキのじょうろ,4,1750,7000
2026/05/24,福岡支店,ガーデン雑貨,GD-003,ガーデンピック 3本組,7,480,3360
2026/05/24,福岡支店,ラッピング用品,GF-001,クラフト紙ギフトバッグ 10枚,18,650,11700
2026/05/24,札幌支店,キッチン雑貨,KT-004,リネンキッチンクロス 2枚組,9,780,7020
2026/05/24,札幌支店,ステーショナリー,ST-002,活版印刷メモパッド,14,420,5880
2026/05/24,札幌支店,ラッピング用品,GF-001,クラフト紙ギフトバッグ 10枚,14,650,9100
2026/05/24,札幌支店,ラッピング用品,GF-004,和紙包装紙 20枚入,6,1150,6900
2026/05/24,仙台支店,キッチン雑貨,KT-001,木製カッティングボード,5,1480,7400
2026/05/24,仙台支店,キッチン雑貨,KT-003,シリコン調理スプーン,9,520,4680
2026/05/24,仙台支店,ステーショナリー,ST-002,活版印刷メモパッド,17,420,7140
2026/05/24,仙台支店,ステーショナリー,ST-003,リネン表紙ノート A5,13,680,8840
2026/05/24,仙台支店,インテリア小物,IN-001,アロマキャンドル,8,880,7040
2026/05/24,仙台支店,バス・サニタリー,BS-002,陶器のソープディッシュ,5,640,3200
2026/05/24,仙台支店,バス・サニタリー,BS-003,バスソルト 3種セット,4,1380,5520
2026/05/24,仙台支店,ガーデン雑貨,GD-003,ガーデンピック 3本組,6,480,2880
2026/05/24,仙台支店,ラッピング用品,GF-002,サテンリボン 5色セット,6,540,3240
