日付,支店,カテゴリ,商品コード,商品名,数量,単価,金額
2026/05/06,東京本店,キッチン雑貨,KT-003,シリコン調理スプーン,49,520,25480
2026/05/06,東京本店,キッチン雑貨,KT-004,リネンキッチンクロス 2枚組,60,780,46800
2026/05/06,東京本店,ステーショナリー,ST-002,活版印刷メモパッド,51,420,21420
2026/05/06,東京本店,ステーショナリー,ST-003,リネン表紙ノート A5,90,680,61200
2026/05/06,東京本店,ステーショナリー,ST-004,マスキングテープ 12色セット,33,1250,41250
2026/05/06,東京本店,インテリア小物,IN-001,アロマキャンドル,48,880,42240
2026/05/06,東京本店,インテリア小物,IN-003,ラタン小物かご,17,950,16150
2026/05/06,東京本店,バス・サニタリー,BS-001,オーガニックコットンタオル,52,1180,61360
2026/05/06,東京本店,ガーデン雑貨,GD-002,ブリキのじょうろ,14,1750,24500
2026/05/06,東京本店,ガーデン雑貨,GD-004,多肉植物用ミニポット,41,380,15580
2026/05/06,東京本店,ラッピング用品,GF-001,クラフト紙ギフトバッグ 10枚,98,650,63700
2026/05/06,東京本店,ラッピング用品,GF-002,サテンリボン 5色セット,53,540,28620
2026/05/06,東京本店,ラッピング用品,GF-003,ギフトボックス 小 5個組,29,880,25520
2026/05/06,大阪支店,キッチン雑貨,KT-003,シリコン調理スプーン,49,520,25480
2026/05/06,大阪支店,キッチン雑貨,KT-004,リネンキッチンクロス 2枚組,52,780,40560
2026/05/06,大阪支店,ステーショナリー,ST-001,真鍮ボールペン,35,980,34300
2026/05/06,大阪支店,ステーショナリー,ST-002,活版印刷メモパッド,77,420,32340
2026/05/06,大阪支店,ステーショナリー,ST-003,リネン表紙ノート A5,65,680,44200
2026/05/06,大阪支店,ステーショナリー,ST-004,マスキングテープ 12色セット,17,1250,21250
2026/05/06,大阪支店,インテリア小物,IN-001,アロマキャンドル,34,880,29920
2026/05/06,大阪支店,インテリア小物,IN-002,ガラスフラワーベース,14,1650,23100
2026/05/06,大阪支店,バス・サニタリー,BS-001,オーガニックコットンタオル,17,1180,20060
2026/05/06,大阪支店,バス・サニタリー,BS-003,バスソルト 3種セット,18,1380,24840
2026/05/06,大阪支店,バス・サニタリー,BS-004,ヒノキの入浴剤 10包,34,920,31280
2026/05/06,大阪支店,ガーデン雑貨,GD-001,テラコッタ植木鉢 S,22,560,12320
2026/05/06,大阪支店,ガーデン雑貨,GD-002,ブリキのじょうろ,11,1750,19250
2026/05/06,大阪支店,ガーデン雑貨,GD-003,ガーデンピック 3本組,38,480,18240
2026/05/06,大阪支店,ラッピング用品,GF-001,クラフト紙ギフトバッグ 10枚,58,650,37700
2026/05/06,大阪支店,ラッピング用品,GF-002,サテンリボン 5色セット,29,540,15660
2026/05/06,大阪支店,ラッピング用品,GF-003,ギフトボックス 小 5個組,46,880,40480
2026/05/06,名古屋支店,キッチン雑貨,KT-001,木製カッティングボード,19,1480,28120
2026/05/06,名古屋支店,キッチン雑貨,KT-002,ホーロー保存容器 3点セット,17,1980,33660
2026/05/06,名古屋支店,キッチン雑貨,KT-003,シリコン調理スプーン,23,520,11960
2026/05/06,名古屋支店,キッチン雑貨,KT-004,リネンキッチンクロス 2枚組,20,780,15600
2026/05/06,名古屋支店,ステーショナリー,ST-002,活版印刷メモパッド,54,420,22680
2026/05/06,名古屋支店,ステーショナリー,ST-003,リネン表紙ノート A5,58,680,39440
2026/05/06,名古屋支店,ステーショナリー,ST-004,マスキングテープ 12色セット,27,1250,33750
2026/05/06,名古屋支店,インテリア小物,IN-001,アロマキャンドル,35,880,30800
2026/05/06,名古屋支店,インテリア小物,IN-002,ガラスフラワーベース,14,1650,23100
2026/05/06,名古屋支店,バス・サニタリー,BS-001,オーガニックコットンタオル,22,1180,25960
2026/05/06,名古屋支店,バス・サニタリー,BS-002,陶器のソープディッシュ,17,640,10880
2026/05/06,名古屋支店,バス・サニタリー,BS-004,ヒノキの入浴剤 10包,32,920,29440
2026/05/06,名古屋支店,ガーデン雑貨,GD-002,ブリキのじょうろ,14,1750,24500
2026/05/06,名古屋支店,ガーデン雑貨,GD-003,ガーデンピック 3本組,31,480,14880
