日付,支店,カテゴリ,商品コード,商品名,数量,単価,金額
2026/06/17,東京本店,キッチン雑貨,KT-003,シリコン調理スプーン,53,520,27560
2026/06/17,東京本店,キッチン雑貨,KT-004,リネンキッチンクロス 2枚組,53,780,41340
2026/06/17,東京本店,ステーショナリー,ST-001,真鍮ボールペン,34,980,33320
2026/06/17,東京本店,ステーショナリー,ST-002,活版印刷メモパッド,83,420,34860
2026/06/17,東京本店,ステーショナリー,ST-003,リネン表紙ノート A5,92,680,62560
2026/06/17,東京本店,インテリア小物,IN-001,アロマキャンドル,57,880,50160
2026/06/17,東京本店,インテリア小物,IN-002,ガラスフラワーベース,25,1650,41250
2026/06/17,東京本店,インテリア小物,IN-004,陶器の一輪挿し,26,720,18720
2026/06/17,東京本店,ガーデン雑貨,GD-001,テラコッタ植木鉢 S,36,560,20160
2026/06/17,東京本店,ガーデン雑貨,GD-003,ガーデンピック 3本組,59,480,28320
2026/06/17,東京本店,ラッピング用品,GF-001,クラフト紙ギフトバッグ 10枚,88,650,57200
2026/06/17,東京本店,ラッピング用品,GF-003,ギフトボックス 小 5個組,35,880,30800
2026/06/17,大阪支店,キッチン雑貨,KT-002,ホーロー保存容器 3点セット,24,1980,47520
2026/06/17,大阪支店,キッチン雑貨,KT-004,リネンキッチンクロス 2枚組,28,780,21840
2026/06/17,大阪支店,ステーショナリー,ST-001,真鍮ボールペン,22,980,21560
2026/06/17,大阪支店,ステーショナリー,ST-003,リネン表紙ノート A5,79,680,53720
2026/06/17,大阪支店,ステーショナリー,ST-004,マスキングテープ 12色セット,20,1250,25000
2026/06/17,大阪支店,インテリア小物,IN-001,アロマキャンドル,40,880,35200
2026/06/17,大阪支店,インテリア小物,IN-003,ラタン小物かご,25,950,23750
2026/06/17,大阪支店,インテリア小物,IN-004,陶器の一輪挿し,16,720,11520
2026/06/17,大阪支店,バス・サニタリー,BS-001,オーガニックコットンタオル,40,1180,47200
2026/06/17,大阪支店,バス・サニタリー,BS-003,バスソルト 3種セット,20,1380,27600
2026/06/17,大阪支店,ガーデン雑貨,GD-001,テラコッタ植木鉢 S,36,560,20160
2026/06/17,大阪支店,ガーデン雑貨,GD-004,多肉植物用ミニポット,68,380,25840
2026/06/17,大阪支店,ラッピング用品,GF-001,クラフト紙ギフトバッグ 10枚,70,650,45500
2026/06/17,大阪支店,ラッピング用品,GF-002,サテンリボン 5色セット,52,540,28080
2026/06/17,大阪支店,ラッピング用品,GF-004,和紙包装紙 20枚入,15,1150,17250
2026/06/17,名古屋支店,キッチン雑貨,KT-001,木製カッティングボード,17,1480,25160
2026/06/17,名古屋支店,キッチン雑貨,KT-002,ホーロー保存容器 3点セット,17,1980,33660
2026/06/17,名古屋支店,キッチン雑貨,KT-003,シリコン調理スプーン,27,520,14040
2026/06/17,名古屋支店,ステーショナリー,ST-001,真鍮ボールペン,44,980,43120
2026/06/17,名古屋支店,ステーショナリー,ST-002,活版印刷メモパッド,86,420,36120
2026/06/17,名古屋支店,ステーショナリー,ST-003,リネン表紙ノート A5,65,680,44200
2026/06/17,名古屋支店,ステーショナリー,ST-004,マスキングテープ 12色セット,24,1250,30000
2026/06/17,名古屋支店,インテリア小物,IN-003,ラタン小物かご,18,950,17100
2026/06/17,名古屋支店,バス・サニタリー,BS-001,オーガニックコットンタオル,23,1180,27140
2026/06/17,名古屋支店,バス・サニタリー,BS-002,陶器のソープディッシュ,23,640,14720
2026/06/17,名古屋支店,バス・サニタリー,BS-004,ヒノキの入浴剤 10包,20,920,18400
2026/06/17,名古屋支店,ガーデン雑貨,GD-003,ガーデンピック 3本組,28,480,13440
2026/06/17,名古屋支店,ガーデン雑貨,GD-004,多肉植物用ミニポット,40,380,15200
2026/06/17,名古屋支店,ラッピング用品,GF-001,クラフト紙ギフトバッグ 10枚,66,650,42900
2026/06/17,名古屋支店,ラッピング用品,GF-002,サテンリボン 5色セット,42,540,22680
2026/06/17,名古屋支店,ラッピング用品,GF-004,和紙包装紙 20枚入,14,1150,16100
2026/06/17,福岡支店,キッチン雑貨,KT-001,木製カッティングボード,19,1480,28120
2026/06/17,福岡支店,キッチン雑貨,KT-002,ホーロー保存容器 3点セット,18,1980,35640
2026/06/17,福岡支店,キッチン雑貨,KT-004,リネンキッチンクロス 2枚組,37,780,28860
2026/06/17,福岡支店,ステーショナリー,ST-001,真鍮ボールペン,22,980,21560
2026/06/17,福岡支店,ステーショナリー,ST-003,リネン表紙ノート A5,54,680,36720
2026/06/17,福岡支店,ステーショナリー,ST-004,マスキングテープ 12色セット,23,1250,28750
2026/06/17,福岡支店,インテリア小物,IN-002,ガラスフラワーベース,13,1650,21450
2026/06/17,福岡支店,バス・サニタリー,BS-003,バスソルト 3種セット,14,1380,19320
2026/06/17,福岡支店,ガーデン雑貨,GD-001,テラコッタ植木鉢 S,20,560,11200
2026/06/17,福岡支店,ガーデン雑貨,GD-004,多肉植物用ミニポット,34,380,12920
2026/06/17,福岡支店,ラッピング用品,GF-001,クラフト紙ギフトバッグ 10枚,34,650,22100
2026/06/17,福岡支店,ラッピング用品,GF-002,サテンリボン 5色セット,30,540,16200
2026/06/17,福岡支店,ラッピング用品,GF-004,和紙包装紙 20枚入,20,1150,23000
2026/06/17,札幌支店,キッチン雑貨,KT-001,木製カッティングボード,8,1480,11840
2026/06/17,札幌支店,キッチン雑貨,KT-002,ホーロー保存容器 3点セット,9,1980,17820
2026/06/17,札幌支店,キッチン雑貨,KT-003,シリコン調理スプーン,26,520,13520
2026/06/17,札幌支店,キッチン雑貨,KT-004,リネンキッチンクロス 2枚組,19,780,14820
2026/06/17,札幌支店,ステーショナリー,ST-001,真鍮ボールペン,15,980,14700
2026/06/17,札幌支店,ステーショナリー,ST-003,リネン表紙ノート A5,24,680,16320
2026/06/17,札幌支店,ステーショナリー,ST-004,マスキングテープ 12色セット,17,1250,21250
2026/06/17,札幌支店,バス・サニタリー,BS-002,陶器のソープディッシュ,18,640,11520
2026/06/17,札幌支店,バス・サニタリー,BS-003,バスソルト 3種セット,9,1380,12420
2026/06/17,札幌支店,バス・サニタリー,BS-004,ヒノキの入浴剤 10包,10,920,9200
2026/06/17,札幌支店,ガーデン雑貨,GD-002,ブリキのじょうろ,8,1750,14000
2026/06/17,札幌支店,ガーデン雑貨,GD-004,多肉植物用ミニポット,41,380,15580
2026/06/17,札幌支店,ラッピング用品,GF-001,クラフト紙ギフトバッグ 10枚,39,650,25350
2026/06/17,札幌支店,ラッピング用品,GF-003,ギフトボックス 小 5個組,27,880,23760
2026/06/17,仙台支店,キッチン雑貨,KT-001,木製カッティングボード,13,1480,19240
2026/06/17,仙台支店,キッチン雑貨,KT-004,リネンキッチンクロス 2枚組,16,780,12480
2026/06/17,仙台支店,ステーショナリー,ST-001,真鍮ボールペン,30,980,29400
2026/06/17,仙台支店,ステーショナリー,ST-002,活版印刷メモパッド,29,420,12180
2026/06/17,仙台支店,ステーショナリー,ST-003,リネン表紙ノート A5,34,680,23120
2026/06/17,仙台支店,ステーショナリー,ST-004,マスキングテープ 12色セット,15,1250,18750
2026/06/17,仙台支店,インテリア小物,IN-001,アロマキャンドル,26,880,22880
2026/06/17,仙台支店,インテリア小物,IN-002,ガラスフラワーベース,6,1650,9900
2026/06/17,仙台支店,インテリア小物,IN-003,ラタン小物かご,12,950,11400
2026/06/17,仙台支店,インテリア小物,IN-004,陶器の一輪挿し,10,720,7200
2026/06/17,仙台支店,ガーデン雑貨,GD-001,テラコッタ植木鉢 S,31,560,17360
2026/06/17,仙台支店,ガーデン雑貨,GD-003,ガーデンピック 3本組,27,480,12960
2026/06/17,仙台支店,ガーデン雑貨,GD-004,多肉植物用ミニポット,33,380,12540
2026/06/17,仙台支店,ラッピング用品,GF-001,クラフト紙ギフトバッグ 10枚,46,650,29900
2026/06/17,仙台支店,ラッピング用品,GF-002,サテンリボン 5色セット,18,540,9720
2026/06/17,仙台支店,ラッピング用品,GF-003,ギフトボックス 小 5個組,16,880,14080
